4c1000: GL-equivalent to harness Hanner mask 80002000a via T=[5/7,2/7,1/7,-3/7; 3/7,4/7,-5/7,1/7; 5/7,2/7,1/7,4/7; -1/7,-6/7,-3/7,2/7]
8c060: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1/2,0; -1,-3/2,-1/2,0; 1,1/2,3/2,2; 1,1/2,1/2,0]
8c0600: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,1,1/2; 0,-1,0,0; 0,0,0,-1; 1/2,1/4,-1/2,-1/4]
8c180: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,-1/2,0; -1/2,-1,-1/2,0; 3/2,1,3/2,2; 1/2,0,1/2,0]
8c300: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,-1/2,0; -1/2,-1,-1/2,0; -1/2,-1,3/2,2; 1/2,0,1/2,0]
8cc00: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/2,-1/2,0; 0,-1/2,-1/2,0; 0,-1/2,3/2,2; 0,-1/2,1/2,0]
8d800: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/2,-1/2,0; 0,-1/2,-1/2,0; -2,-5/2,3/2,2; 0,-1/2,1/2,0]
9000c8: GL-equivalent to harness Hanner mask 4100104001 via T=[4/3,2/3,1/3,2/3; 2/3,-2/3,-1/3,-2/3; 0,0,-1,0; 1/3,2/3,1/3,-1/3]
900812: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,-1; 1,0,0,1; 1/3,2/3,-2/3,1/3; 1/3,2/3,1/3,1/3]
a80280: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,1,0; 0,-1,0,0; 0,0,0,1; 1/2,0,-1/2,0]
c2210: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,3/4,-1/2,1/4; -1/2,-5/4,-1/2,1/4; 1/2,1/4,1/2,3/4; 1/2,1/4,1/2,-1/4]
c40c0: GL-equivalent to harness Hanner mask 4100104001 via T=[2,4/3,2/3,1/3; 0,-2/3,2/3,1/3; 0,0,0,-1; 0,-1/3,-2/3,-1/3]
424240: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,1; 0,-1,0,0; 2,1,2,0; 1/2,1/2,0,-1/2]
11002448: GL-equivalent to harness Hanner mask 410a104000 via T=[1,-1,1/2,1/2; 1/2,1/2,-3/4,-1/4; -1/2,-1/2,-1/4,-3/4; 1/2,1/2,1/4,-1/4]
11400450: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,1,0,0; -1/2,-1/2,1/2,0; 1/2,1/2,1/2,1; -1/2,-1/2,-1/2,0]
140a5: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,-1,1; -3,-2,-1,-1; -1,0,-1,-1; -1,0,0,0]
14145: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,-1,-1,1; -2,-1,-1,-1; 0,1,-1,-1; -1,0,0,0]
141e0: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,0; -1,-1,0,0; 3,1,2,2; -1,0,0,0]
1450104: GL-equivalent to harness Hanner mask 410a104000 via T=[0,-1,1,0; -3/2,-1,-1,1/2; -1/2,-1,-1,-1/2; -1/2,0,0,-1/2]
1451400: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -1,0,-1,0; 0,-1,0,0; -1/2,-1/2,1/2,0]
14a05: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,-1,1; -1,0,-1,-1; 1,2,-1,-1; -1,0,0,0]
14aa0: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,-1,1; -1,-1,0,0; 1,0,1,1; -1,0,0,0]
14b40: GL-equivalent to harness Hanner mask 410a104000 via T=[0,-1,0,2; -1,-1,0,0; 1,-1,2,2; -1,0,0,0]
1540a0: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,-1,1; -1,-1/2,1/2,1/2; -1,-3/2,-1/2,-1/2; -1,-1/2,-1/2,-1/2]
154110: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,-1,-1,-1; -3/2,-1,1/2,-1/2; -1/2,-1,-1/2,1/2; -1/2,0,-1/2,1/2]
160b0: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; 0,0,1,0; 4,2,1,2; -2,-1,-1,0]
16160: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; 0,0,1,0; 2,0,1,2; -2,-1,-1,0]
161a0: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 2,0,1,1; 0,0,1,-1; -2,-1,-1,-1]
16340: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 1,-1,1,1; 1,1,1,-1; -1,0,-1,-1]
1680280: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -1,-1,-1,0; 0,-1,0,0; -1/2,0,1/2,0]
16b00: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -1,-1,1,0; 1,-1,1,2; -1,0,-1,0]
17a00: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 0,-2,1,1; 0,0,1,-1; 0,1,-1,-1]
180c3: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,1; -3,-2,-2,-1; -1,0,-2,-1; -1,0,0,0]
18400610: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,1,0,0; -3/4,-3/4,1/2,-1/4; 1/4,1/4,1/2,3/4; -1/4,-1/4,-1/2,1/4]
18603: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,1; -1,0,-2,-1; 1,2,-2,-1; -1,0,0,0]
186c0: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,1; -1,-1,0,0; 1,0,2,1; -1,0,0,0]
1a0d0: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; 0,0,1,0; 2,1,1,1; -2,-1,-1,0]
1a2c0: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 1,-1/2,1,1/2; 1,1/2,1,-1/2; -1,-1/2,-1,-1/2]
1a680: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -1,-1,1,0; 1,0,1,1; -1,0,-1,0]
1b600: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 0,-3/2,1,1/2; 0,-1/2,1,-1/2; 0,1/2,-1,-1/2]
1c0e0: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; 0,0,1,0; 4,2,3,2; -2,-1,-1,0]
1c1c0: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 2,0,2,1; 0,0,0,-1; -2,-1,-2,-1]
1ce00: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 0,-2,2,1; 0,0,0,-1; 0,1,-2,-1]
22115: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,1,1; 1,1,1,-1; -1,-1,1,-1; 1,0,0,0]
22225: GL-equivalent to harness Hanner mask 410a104000 via T=[1,0,1,1; 2,2,1,-1; 0,0,1,-1; 1,0,0,0]
22330: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,0; -1,-1,0,0; -1,-1,-2,2; -1,0,0,0]
22aa0: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,0,-1,-1; -1,-1,0,0; 0,0,1,-1; -1,0,0,0]
23105: GL-equivalent to harness Hanner mask 410a104000 via T=[0,-1,1,1; 1,1,1,-1; -1,-1,1,-1; 1,0,0,0]
23320: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,-2; -1,-1,0,0; 1,1,2,-2; -1,0,0,0]
24093: GL-equivalent to harness Hanner mask 410a104000 via T=[3,2,2,1; 0,0,0,-1; -2,-2,0,-1; 1,0,0,0]
24099: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,0,-2,1; -2,-2,0,-1; 0,0,0,-1; -1,0,0,0]
24123: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,2,1; 1,1,0,-1; -1,-1,0,-1; 1,0,0,0]
241b0: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,0; -1,-1,0,0; 1,1,0,2; -1,0,0,0]
242d0: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,0; -1,-1,0,0; 0,0,0,1; -1,0,0,0]
24483: GL-equivalent to harness Hanner mask 410a104000 via T=[1,0,2,1; 0,0,0,-1; -2,-2,0,-1; 1,0,0,0]
24489: GL-equivalent to harness Hanner mask 410a104000 via T=[1,2,-2,1; -2,-2,0,-1; 0,0,0,-1; -1,0,0,0]
245a0: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,-2; -1,-1,0,0; -1,-1,0,-2; -1,0,0,0]
246c0: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,0,-2,-1; -1,-1,0,0; 0,0,0,-1; -1,0,0,0]
24903: GL-equivalent to harness Hanner mask 410a104000 via T=[0,-1,2,1; 1,1,0,-1; -1,-1,0,-1; 1,0,0,0]
24d80: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,-2,0; -1,-1,0,0; 1,1,0,2; -1,0,0,0]
25680: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,-2,0; -1,-1,0,0; 0,0,0,1; -1,0,0,0]
26190: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 1,0,0,1; 1,0,2,-1; -1,-1,0,-1]
26260: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; 0,0,1,0; -2,-2,-1,2; -2,-1,-1,0]
26980: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -1,-1,1,0; 1,1,-1,2; -1,0,-1,0]
26c80: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 1,0,0,1; -1,-2,2,-1; -1,-1,0,-1]
280281400: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -1/2,-1/4,-3/4,0; 1/2,-3/4,-1/4,0; -1/2,-1/4,1/4,0]
28028a000: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -1/2,1/2,0,0; 1/2,1/2,1,0; -1/2,-1/2,0,0]
2820105: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,1,1; 0,0,-1,-1; 0,0,1,-1; 0,-1,0,0]
2820a08: GL-equivalent to harness Hanner mask 410a104000 via T=[-1/2,1/2,1/2,1/2; -1,0,0,-1; 0,1,-1,0; -1/2,-1/2,-1/2,1/2]
2840508: GL-equivalent to harness Hanner mask 410a104000 via T=[-1/2,1,1/2,1/2; -1,-1,0,-1; 0,1,-1,0; -1/2,0,-1/2,1/2]
28a050: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -1,-1/2,1/2,0; -1,-3/2,-1/2,0; -1,-1/2,-1/2,0]
28a280: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -3/2,-1,1/2,0; -1/2,-1,-1/2,0; -1/2,0,-1/2,0]
2a150: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; 0,0,1,0; 0,0,0,1; -2,-1,-1,0]
2a2a0: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 1/2,-1/2,1/2,1/2; 3/2,1/2,3/2,-1/2; -1/2,-1/2,-1/2,-1/2]
2aa80: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -1,-1,1,0; 0,0,0,1; -1,0,-1,0]
2b500: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 0,-1,1/2,1/2; 0,-1,3/2,-1/2; 0,0,-1/2,-1/2]
30c0104: GL-equivalent to harness Hanner mask 410a104000 via T=[-1/2,-1,1,1/2; -1,-1,-1,-1; 0,-1,-1,0; -1/2,0,0,1/2]
340b0: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 1,0,1,0; 3,2,1,2; -1,-1,-1,0]
341a0: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; 0,0,1,1; 0,0,1,-1; -2,-1,-1,-1]
34340: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -1,-1,1,1; 1,1,1,-1; -1,0,-1,-1]
35a00: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -2,-2,1,1; 0,0,1,-1; 0,1,-1,-1]
36030: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,0,-2; 0,0,1,0; -2,-2,-1,0; -2,-1,-1,0]
36240: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,0; -2,-2,0,1; 0,0,0,-1; 0,1,0,-1]
380e0: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 1,0,1,0; 3,2,3,2; -1,-1,-1,0]
3c030: GL-equivalent to harness Hanner mask 410a104000 via T=[-4,-3,-2,-2; 0,0,1,0; -2,-2,-1,0; -2,-1,-1,0]
3c060: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,-2; 0,0,1,0; -2,-2,-1,0; -2,-1,-1,0]
3c0a0: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,0; 0,0,1,1; -2,-2,-1,-1; -2,-1,-1,-1]
3c140: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,0; -1,-1,1,1; -1,-1,-1,-1; -1,0,-1,-1]
3d800: GL-equivalent to harness Hanner mask 410a104000 via T=[2,3,-2,-2; -2,-2,1,0; 0,0,-1,0; 0,1,-1,0]
400428a: GL-equivalent to harness Hanner mask 410a104000 via T=[1,1,1,0; 0,1,-1,0; 0,0,0,1; 1,0,0,0]
4004505: GL-equivalent to harness Hanner mask 410a104000 via T=[1,1,1,1; 0,1,-1,-1; 0,-1,1,-1; 1,0,0,0]
400a10a: GL-equivalent to harness Hanner mask 410a104000 via T=[1,-1,1,0; 0,0,-1,0; 0,0,0,1; 1,1,0,0]
414015: GL-equivalent to harness Hanner mask 410a104000 via T=[3,1,1,1; -2,-2,-1,-1; 0,0,1,-1; 1,1,0,0]
414105: GL-equivalent to harness Hanner mask 410a104000 via T=[1,1,1,1; -2,0,-1,-1; 0,0,1,-1; -1,-1,0,0]
414a08: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1/2,1/2,1/2; 0,0,0,-1; 0,1,-1,0; 0,-1/2,-1/2,1/2]
418013: GL-equivalent to harness Hanner mask 410a104000 via T=[4,2,2,1; -3,-3,-2,-1; -1,-1,0,-1; 1,1,0,0]
418083: GL-equivalent to harness Hanner mask 410a104000 via T=[2,2,2,1; -3,-1,-2,-1; -1,-1,0,-1; -1,-1,0,0]
4200a5: GL-equivalent to harness Hanner mask 410a104000 via T=[1,0,1,1; -2,-2,-1,-1; 0,0,1,-1; -1,0,0,0]
420129: GL-equivalent to harness Hanner mask 410a104000 via T=[0,-1,0,1; -1,-1,0,-1; 1,1,2,-1; -1,0,0,0]
422025: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,0,-1,1; 0,1,1,-1; -2,-1,-1,-1; -1,-1,0,0]
422221: GL-equivalent to harness Hanner mask 410a104000 via T=[1,0,-1,1; 2,1,2,-1; 0,1,0,-1; -1,-1,-1,0]
424023: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,1; -1,0,0,-1; -3,-2,-2,-1; -1,-1,0,0]
424109: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,1; -1,0,0,-1; 1,0,2,-1; -1,-1,0,0]
424121: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,1; 1,0,1,-1; -1,0,-1,-1; -1,-1,-1,0]
428085: GL-equivalent to harness Hanner mask 410a104000 via T=[1,2,1,1; -2,-1,-1,-1; 0,-1,1,-1; -1,-1,0,0]
4280a1: GL-equivalent to harness Hanner mask 410a104000 via T=[3,2,1,1; 0,-1,0,-1; -2,-1,-2,-1; -1,-1,-1,0]
428508: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,1/2,1/2; 0,-1,0,-1; 0,1,-1,0; 0,0,-1/2,1/2]
444015: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,1,-1,1; 0,0,1,-1; -2,-2,-1,-1; -1,-1,0,0]
45008a: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,1,0; -1,0,-1,0; 1,1,0,1; -1,-1,0,0]
46008c: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,1,0; -1,0,-1,0; 1,2,-1,2; -1,-1,0,0]
488448: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,1/2,1/2; 0,-1/2,-1/4,-3/4; 0,1/2,-3/4,-1/4; 0,-1/2,-1/4,1/4]
5005a: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -2,-2,-1,0; 0,0,-1,0; -1,0,0,0]
5028a: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -1,-1,-1,0; 1,1,-1,0; -1,0,0,0]
502d0: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -1,-1,0,0; 1,1,2,0; -1,0,0,0]
51450: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -1,-1,0,0; 0,0,1,0; -1,0,0,0]
52250: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 1,0,1,0; -1,-1,-1,1; -1,-1,-1,0]
53480: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -1,-1/2,0,1/2; -1,-3/2,2,-1/2; -1,-1/2,0,-1/2]
5400a8: GL-equivalent to harness Hanner mask 410a104000 via T=[2,3/2,1/2,1/2; 0,-1,0,-1; 0,0,-1,0; 0,-1/2,-1/2,1/2]
54150: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 1,0,1,0; 0,0,0,1; -1,-1,-1,0]
542a0: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -1,-1/2,1/2,1/2; 1,1/2,3/2,-1/2; -1,-1/2,-1/2,-1/2]
55500: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -3/2,-1,1/2,1/2; -1/2,-1,3/2,-1/2; -1/2,0,-1/2,-1/2]
5a050: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; 0,0,1,0; -2,-2,-1,0; -2,-1,-1,0]
5a090: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,0; -1,-1/2,0,1/2; -1,-3/2,0,-1/2; -1,-1/2,0,-1/2]
5a120: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-2,0; -3/2,-1,0,1/2; -1/2,-1,0,-1/2; -1/2,0,0,-1/2]
5b400: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -2,-2,1,0; 0,0,-1,0; 0,1,-1,0]
6036: GL-equivalent to harness Hanner mask 410a104000 via T=[-4,-2,-1,-2; -3,-2,-1,0; -1,0,-1,0; -1,0,0,0]
603c: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,1,-2; -3,-2,-1,0; -1,0,-1,0; -1,0,0,0]
6066: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,0,-1,-2; -3,-2,-1,0; -1,0,-1,0; -1,0,0,0]
606c: GL-equivalent to harness Hanner mask 410a104000 via T=[2,2,1,-2; -3,-2,-1,0; -1,0,-1,0; -1,0,0,0]
6186: GL-equivalent to harness Hanner mask 410a104000 via T=[-3,-1,-1,-2; -2,-1,-1,0; 0,1,-1,0; -1,0,0,0]
618c: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,-1,1,-2; -2,-1,-1,0; 0,1,-1,0; -1,0,0,0]
630c: GL-equivalent to harness Hanner mask 410a104000 via T=[1,1,1,-2; -2,-1,-1,0; 0,1,-1,0; -1,0,0,0]
6c06: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,0,-1,-2; -1,0,-1,0; 1,2,-1,0; -1,0,0,0]
6c0c: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-2,1,-2; -1,0,-1,0; 1,2,-1,0; -1,0,0,0]
6c30: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,0,-2; -1,-1,0,0; 1,0,1,0; -1,0,0,0]
7806: GL-equivalent to harness Hanner mask 410a104000 via T=[0,2,-1,-2; -1,0,-1,0; 1,2,-1,0; -1,0,0,0]
780c: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,1,-2; -1,0,-1,0; 1,2,-1,0; -1,0,0,0]
7830: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,1,-2; -1,-1,0,0; 1,0,1,0; -1,0,0,0]
80088450: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-1,-1,-1; 0,1/2,1/2,1; 0,-1/2,1/2,0; 0,1/2,1/2,0]
820093: GL-equivalent to harness Hanner mask 410a104000 via T=[1,2,0,1; 0,0,0,-1; -2,-2,-2,-1; 1,0,0,0]
820115: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,-1,1; 1,1,1,-1; -1,-1,-1,-1; 1,0,0,0]
820186: GL-equivalent to harness Hanner mask 410a104000 via T=[0,-1,1,0; -1,-1,-1,0; 1,1,1,2; -1,0,0,0]
82028a: GL-equivalent to harness Hanner mask 410a104000 via T=[0,-1,1,0; -1,-1,-1,0; 0,0,0,1; -1,0,0,0]
822105: GL-equivalent to harness Hanner mask 410a104000 via T=[0,-1,-1,1; 1,0,1,-1; -1,0,-1,-1; 1,1,0,0]
822882: GL-equivalent to harness Hanner mask 410a104000 via T=[3/2,1/2,1/2,-1/2; 1,0,0,1; 0,1,-1,0; -1/2,-1/2,-1/2,-1/2]
824083: GL-equivalent to harness Hanner mask 410a104000 via T=[1,0,0,1; 0,-1,0,-1; -2,-1,-2,-1; 1,1,0,0]
824482: GL-equivalent to harness Hanner mask 410a104000 via T=[1,0,0,-1; 2,1,1,2; 0,1,-1,0; -1,-1,-1,-1]
85010a: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,1,0; -1,0,-1,0; 0,0,0,1; -1,-1,0,0]
850284: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,1,0; 0,-1/2,-1,1/2; 0,1/2,-1,-1/2; 0,-1/2,0,-1/2]
88202a: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,1,0,-1; 0,0,0,1; -1,-1,-1,0; -1,-1,0,0]
8a450: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -1,-1/2,1/2,0; 1,1/2,1/2,1; -1,-1/2,-1/2,0]
8b440: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 0,-1,1/2,1/2; 0,0,1/2,-1/2; 0,0,-1/2,-1/2]
8c00c4: GL-equivalent to harness Hanner mask 410a104000 via T=[2,3/2,1,1/2; 0,-1,-1,-1; 0,0,-1,0; 0,-1/2,0,1/2]
8c460: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -1,-1/2,1/2,0; 1,1/2,3/2,2; -1,-1/2,-1/2,0]
8cc40: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 0,-1,1,1; 0,0,0,-1; 0,0,-1,-1]
904412: GL-equivalent to harness Hanner mask 410a104000 via T=[1,0,0,-1; 3/2,1,1/2,3/2; 1/2,1,-1/2,1/2; -1/2,-1,-1/2,-1/2]
910112: GL-equivalent to harness Hanner mask 410a104000 via T=[3/2,1,1/2,-1/2; 1,0,0,1; 0,0,-1,0; -1/2,-1,-1/2,-1/2]
920092: GL-equivalent to harness Hanner mask 410a104000 via T=[1,0,0,-1; 2,2,1,2; 0,0,-1,0; -1,-2,-1,-1]
a00028a: B4-equivalent to harness Hanner (12 vertices, mask 82a820000)
a001450: B4-equivalent to harness Hanner (12 vertices, mask 410a104000)
a05a: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -3,-2,-1,0; -1,0,-1,0; -1,0,0,0]
a28a: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -2,-1,-1,0; 0,1,-1,0; -1,0,0,0]
b40a: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -1,0,-1,0; 1,2,-1,0; -1,0,0,0]
b450: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -1,-1,0,0; 1,0,1,0; -1,0,0,0]
c2610: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -3/2,-3/4,1/2,-1/4; 1/2,1/4,1/2,3/4; -1/2,-1/4,-1/2,1/4]
c30c0: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 0,-3/4,1/2,1/4; 0,1/4,1/2,-3/4; 0,-1/4,-1/2,-1/4]
d8090: GL-equivalent to harness Hanner mask 410a104000 via T=[-2,-2,-2,-1; -2,-3/2,0,-1/2; 0,-1/2,0,1/2; 0,1/2,0,1/2]
d8120: GL-equivalent to harness Hanner mask 410a104000 via T=[-1,-1,-2,-1; -3/2,-1,0,-1/2; -1/2,-1,0,1/2; -1/2,0,0,1/2]
1681400: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,0,-1; -2/3,-1/3,-2/3,0; 0,-1,0,0; -2/3,-1/3,1/3,0]
2940a00: GL-equivalent to harness Hanner mask 410a104000 via T=[0,0,-1,1; -2/3,-1/3,-2/3,-2/3; 0,-1,0,0; -2/3,-1/3,1/3,1/3]
3040608: GL-equivalent to harness Hanner mask 410a104000 via T=[-2/3,2/3,2/3,1/3; -2/3,-1/3,-1/3,-2/3; 0,1,-1,0; -2/3,-1/3,-1/3,1/3]
418608: GL-equivalent to harness Hanner mask 410a104000 via T=[2,2/3,2/3,1/3; 0,-1/3,-1/3,-2/3; 0,1,-1,0; 0,-1/3,-1/3,1/3]
4c00c8: GL-equivalent to harness Hanner mask 410a104000 via T=[2,4/3,2/3,1/3; 0,-2/3,-1/3,-2/3; 0,0,-1,0; 0,-2/3,-1/3,1/3]
902812: GL-equivalent to harness Hanner mask 410a104000 via T=[4/3,2/3,1/3,-2/3; 1,0,0,1; 1/3,2/3,-2/3,1/3; -1/3,-2/3,-1/3,-1/3]
c4620: GL-equivalent to harness Hanner mask 410a104000 via T=[0,1,0,0; -4/3,-2/3,1/3,-1/3; 0,0,1,1; -2/3,-1/3,-1/3,1/3]
c48c0: GL-equivalent to harness Hanner mask 410a104000 via T=[2,1,0,0; 0,-2/3,2/3,1/3; 0,0,0,-1; 0,-1/3,-2/3,-1/3]
145028a: GL-equivalent to harness Hanner mask a28028a000 via T=[2,1,1,0; 0,-1,-1,0; 0,1,-1,0; 0,0,0,1]
154aa0: GL-equivalent to harness Hanner mask a28028a000 via T=[2,1,0,0; 0,-1,0,0; 0,0,1,1; 0,0,1,-1]
2828505: GL-equivalent to harness Hanner mask a28028a000 via T=[2,1,1,1; 0,-1,-1,-1; 0,1,-1,-1; 0,-1,1,-1]
28b450: GL-equivalent to harness Hanner mask a28028a000 via T=[2,1,0,0; 0,-1,0,0; 0,0,1,0; 0,0,0,1]
2a800aa0: B4-equivalent to harness Hanner (16 vertices, mask 2a800aa0)
361b0: GL-equivalent to harness Hanner mask a28028a000 via T=[2,1,0,0; 0,-1,0,0; 2,1,2,0; 2,1,0,2]
36360: GL-equivalent to harness Hanner mask a28028a000 via T=[2,1,0,0; 0,-1,0,0; 2,1,2,0; 0,-1,0,2]
37b00: GL-equivalent to harness Hanner mask a28028a000 via T=[2,1,0,0; 0,-1,0,0; 0,-1,2,0; 0,-1,0,2]
3c1e0: GL-equivalent to harness Hanner mask a28028a000 via T=[2,1,0,0; 0,-1,0,0; 2,1,2,0; 2,1,2,2]
4444115: GL-equivalent to harness Hanner mask a28028a000 via T=[1,1,-1,1; 1,-1,1,-1; 1,1,1,-1; -1,-1,-1,-1]
51401450: B4-equivalent to harness Hanner (16 vertices, mask 5500154000)
